title,price,in_stocks,sku,category,description,product_image_link,additional_info,product_link,scrape_ts
Abominable Hoodie,£69.00,,MH09,Hoodies & Sweatshirts,"It took CoolTech™ weather apparel know-how and lots of wind-resistant fabric to get the Abominable Hoodie just right. It’s aggressively warm when it needs to be, while maintaining your comfort in milder climes.
• Blue heather hoodie.• Relaxed fit.• Moisture-wicking.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-blue_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Blue, Green, Red'}",https://gopher1.extrkt.com/?product=abominable-hoodie,2024-02-04 19:54:23
Adrienne Trek Jacket,£57.00,,WJ08,Erin Recommends|Clothing,"You’re ready for a cross-country jog or a coffee on the patio in the Adrienne Trek Jacket. Its style is unique with stand collar and drawstrings, and it fits like a jacket should.
• gray 1/4 zip pullover.• Comfortable, relaxed fit.• Front zip for venting.• Spacious, kangaroo pockets.• 27″ body length.• 95% Organic Cotton / 5% Spandex.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj08-gray_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Gray, Orange, Purple'}",https://gopher1.extrkt.com/?product=adrienne-trek-jacket,2024-02-04 19:54:26
Aeon Capri,£48.00,,WP07,Performance Fabrics|Clothing,"Reach for the stars and beyond in these Aeon Capri pant. With a soft, comfortable feel and moisture wicking fabric, these duo-tone leggings are easy to wear — and wear attractively.
• Black capris with teal accents.• Thick, 3″ flattering waistband.• Media pocket on inner waistband.• Dry wick finish for ultimate comfort and dryness.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp07-black_main.jpg,"{'Size': '28, 29', 'Color': 'Black, Blue, Orange'}",https://gopher1.extrkt.com/?product=aeon-capri,2024-02-04 19:54:30
Aero Daily Fitness Tee,£24.00,,MS01,Tees,"Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don’t be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.
Relaxed fit.Short-Sleeve.Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms01-blue_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Black, Brown, Yellow'}",https://gopher1.extrkt.com/?product=aero-daily-fitness-tee,2024-02-04 19:54:31
Aether Gym Pant,£74.00,,MP11,Erin Recommends|Clothing,"The Aether Gym Pant is built for the studio, but adapts perfectly well to outdoor and gym environs too. With lightweight stretch fabric and water-repellent exterior, the Aether is ready for all comers.
• Pants/shorts convertible.• Lightweight moisture wicking.• Water repellent.• Belted waist.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp11-brown_main.jpg,"{'Size': '32, 33, 34, 36', 'Color': 'Blue, Brown, Green'}",https://gopher1.extrkt.com/?product=aether-gym-pant,2024-02-04 19:54:33
Affirm Water Bottle,£7.00,100 in stock,24-UG06,Fitness Equipment,"You’ll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you’re drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/ug06-lb-0.jpg,"{'Activity': 'Yoga, Recreation, Sports, Gym', 'Gender': 'Men, Women, Boys, Girls, Unisex', 'Material': 'Plastic'}",https://gopher1.extrkt.com/?product=affirm-water-bottle,2024-02-04 19:54:34
Aim Analog Watch,£45.00,100 in stock,24-MG04,Watches,"Stay light-years ahead of the competition with our Aim Analog Watch. The flexible, rubberized strap is contoured to conform to the shape of your wrist for a comfortable all-day fit. The face features three illuminated hands, a digital read-out of the current time, and stopwatch functions.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mg04-bk-0.jpg,"{'Activity': 'Recreation, Sports, Outdoor, Gym', 'Gender': 'Men', 'Material': 'Plastic, Rubber'}",https://gopher1.extrkt.com/?product=aim-analog-watch,2024-02-04 19:54:38
Ajax Full-Zip Sweatshirt,£69.00,,MH12,Hoodies & Sweatshirts,"The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles.
• Mint striped full zip hoodie.• 100% bonded polyester fleece.• Pouch pocket.• Rib cuffs and hem.• Machine washable.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh12-green_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Blue, Green, Red'}",https://gopher1.extrkt.com/?product=ajax-full-zip-sweatshirt,2024-02-04 19:54:41
Ana Running Short,£40.00,,WSH10,Eco Friendly|Clothing,"Time to lace up your kicks and beat that personal best in the Ana Running Short. It’s designed with breathable mesh side panels to help keep you cool while you master the miles.
• Black/pink two-layer shorts.• Low-rise elastic waistband.• Relaxed fit.• Ultra-lightweight fabric.• Internal drawstring.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh10-black_main.jpg,"{'Size': '28, 29, 30, 31, 32', 'Color': 'Black, Orange, White'}",https://gopher1.extrkt.com/?product=ana-running-short,2024-02-04 19:54:44
Angel Light Running Short,£42.00,,WSH06,Shorts,"The Angel Light Running Short offers comfort in an ultra-lightweight, breathable package. With fabric infused with all-natural Cocona® performance technology, it can whisk away sweat and block UV rays.
• Dark heather gray running shorts.• Snug fit.• Elastic waistband.• Cocona® performance fabric.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh06-gray_main.jpg,"{'Size': '28, 29, 30, 31, 32', 'Color': 'Gray, Orange, Purple'}",https://gopher1.extrkt.com/?product=angel-light-running-short,2024-02-04 19:54:46
Antonia Racer Tank,£34.00,,WT08,Performance Fabrics|Clothing,"You won’t know what you like best about the Antonia Racer Tank: soft, stretchy, lightweight fabric? Super-cute colorblocked details? Whatever it is, this piece is sure to quickly move to the top of your workout rotation.
• Machine wash.• Line dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt08-black_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Black, Purple, Yellow'}",https://gopher1.extrkt.com/?product=antonia-racer-tank,2024-02-04 19:54:50
Apollo Running Short,£32.50,,MSH02,Shorts,"Fleet of foot or slow and steady, you’ll be in complete comfort with the Apollo Running Short. Lightweight polyester material lets you move with ease, and mesh side panels promise plenty of ventilation as you work up a sweat. The stretchy elastic waistband delivers a flexible fit.
• Black shorts with green accents.• Side pockets.• 4″ inseam.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh02-black_main.jpg,"{'Size': '32, 33, 34, 36', 'Color': 'Black'}",https://gopher1.extrkt.com/?product=apollo-running-short,2024-02-04 19:54:52
Arcadio Gym Short,£20.00,,MSH11,Shorts,"The Arcadio Gym short is a basic-looking piece with a lot more than meets the eye: casual-yet-functional relaxed fit, comfortable waistband and adjustable drawstring. Everything you need, plus more.
• Royal blue cotton shorts.• Built-in mesh brief.• 87% Spandex 13% Lycra.• Adjustable drawstring.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh11-blue_main.jpg,"{'Size': '32, 33, 34, 36', 'Color': 'Black, Blue, Red'}",https://gopher1.extrkt.com/?product=arcadio-gym-short,2024-02-04 19:54:55
Argus All-Weather Tank,£22.00,,MT07,Eco Friendly|Clothing,"The Argus All-Weather Tank is sure to become your favorite base layer or go-to cover for hot outdoor workouts. With its subtle reflective safely trim, you can even wear it jogging on urban evenings.
• Dark gray polyester spandex tank.• Reflective details for nighttime visibility.• Stash pocket.• Anti-chafe flatlock seams.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt07-gray_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Gray'}",https://gopher1.extrkt.com/?product=argus-all-weather-tank,2024-02-04 19:54:58
Ariel Roll Sleeve Sweatshirt,£39.00,,WH09,Eco Friendly|Clothing,"Soft, sleek and subtle, the Ariel Roll Sleeve Sweatshirt is a nuanced fitness garment for all occasions. It works equally well as a workout piece or in a casual social setting.
• Purple two-tone lightweight hoodie.• 100% cotton.• Adjustable roll sleeves for Long-Sleeve or 3/4 sleeve.• Casual, comfy piece for running errands or weekend activities.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh09-purple_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Green, Purple, Red'}",https://gopher1.extrkt.com/?product=ariel-roll-sleeve-sweatshirt,2024-02-04 19:55:00
Artemis Running Short,£45.00,,WSH04,Shorts,"Discover smooth jogging and chic comfort each time you slip into the Artemis Running Short. A unique maritime-inspired design and oolor theme features a stretchy drawstring waist.
• Black rouched shorts with mint waist.• Soft, lightweight construction.• LumaTech™ wicking technology.• Semi-fitted.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh04-black_main.jpg,"{'Size': '28, 29, 30, 31, 32', 'Color': 'Black, Green, Orange'}",https://gopher1.extrkt.com/?product=artemis-running-short,2024-02-04 19:55:03
Atlas Fitness Tank,£18.00,,MT11,Eco Friendly|Clothing,"From weekend warrior to Warrior Pose II, no role can beat the Atlas Fitness Tank, a versatile top for gym and yoga studio. Wicking-weave soft fabric helps prevent uncomfortable chafing.
• Teal scoop neck cotton tank.• Triblend, soft fabric.• Relaxed fit.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt11-blue_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Blue'}",https://gopher1.extrkt.com/?product=atlas-fitness-tank,2024-02-04 19:55:04
Atomic Endurance Running Tee (Crew-Neck),£29.00,,MS12,Tees,"Like it’s v-neck counterpart, the crew-neck Atomic Tee will get you to your goal and beyond with its many load-bearing features: ultra-lightweight, moisture-wicking Cocona® fabric, chafe-free flatlock seams and an ergonomic cut that moves with your body.
• Red polyester tee.• Crew neckline.• Cocona® performance fabric.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms12-red_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Black, Blue, Red'}",https://gopher1.extrkt.com/?product=atomic-endurance-running-tee-crew-neck,2024-02-04 19:55:06
Atomic Endurance Running Tee (V-neck),£28.00,,MS11,Tees,"Reach your limit and keep on going in the Atomic Endurance Running Tee. Built to help any athlete push past the wall with loads of performance features.
• Lime heathered v-neck tee.• Ultra-lightweight.• Moisture-wicking Cocona® fabric.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms11-green_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Blue, Green, Yellow'}",https://gopher1.extrkt.com/?product=atomic-endurance-running-tee-v-neck,2024-02-04 19:55:08
Augusta Pullover Jacket,£57.00,,WJ03,Jackets,"It’s hard to be uncomfortable in the Augusta Pullover Jacket with ¼ zip. With an incredibly soft fleece lining and textured outer fabric, it offers reliable protection from the elements and a cozy fit as well.
• Pink half-zip pullover.• Front pouch pockets.• Fold-down collar.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj03-red_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Blue, Orange, Red'}",https://gopher1.extrkt.com/?product=augusta-pullover-jacket,2024-02-04 19:55:10
Autumn Pullie,£57.00,,WH03,Hoodies & Sweatshirts,"With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.
• Cayenne Short-Sleeve roll neck sweatshirt.• Relaxed fit.• Short-Sleeves.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh03-red_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Green, Purple, Red'}",https://gopher1.extrkt.com/?product=autumn-pullie,2024-02-04 19:55:12
